predday,predstep
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
2015-01-05,[8274.35714286]
2015-01-06,[7682.85714286]
2015-01-07,[7091.35714286]
2015-01-08,[6499.85714286]
2015-01-09,[5908.35714286]
2015-01-10,[5316.85714286]
2015-01-11,[4725.35714286]
