predday,predsle
2015-01-06,[90.89285714]
2015-01-07,[87.92857143]
2015-01-08,[84.96428571]
2015-01-09,[82.]
2015-01-10,[79.03571429]
2015-01-10,[76.07142857]
2015-01-11,[73.10714286]
2015-01-06,[90.89285714]
2015-01-07,[87.92857143]
2015-01-08,[84.96428571]
2015-01-09,[82.]
2015-01-10,[79.03571429]
2015-01-10,[76.07142857]
2015-01-11,[73.10714286]
2015-01-06,[90.89285714]
2015-01-07,[87.92857143]
2015-01-08,[84.96428571]
2015-01-09,[82.]
2015-01-10,[79.03571429]
2015-01-10,[76.07142857]
2015-01-11,[73.10714286]
2015-01-06,[90.89285714]
2015-01-07,[87.92857143]
2015-01-08,[84.96428571]
2015-01-09,[82.]
2015-01-10,[79.03571429]
2015-01-10,[76.07142857]
2015-01-11,[73.10714286]
2015-01-06,[90.89285714]
2015-01-07,[87.92857143]
2015-01-08,[84.96428571]
2015-01-09,[82.]
2015-01-10,[79.03571429]
2015-01-10,[76.07142857]
2015-01-11,[73.10714286]
2015-01-06,[90.89285714]
2015-01-07,[87.92857143]
2015-01-08,[84.96428571]
2015-01-09,[82.]
2015-01-10,[79.03571429]
2015-01-10,[76.07142857]
2015-01-11,[73.10714286]
2015-01-06,[90.89285714]
2015-01-07,[87.92857143]
2015-01-08,[84.96428571]
2015-01-09,[82.]
2015-01-10,[79.03571429]
2015-01-10,[76.07142857]
2015-01-11,[73.10714286]
2015-01-06,[90.89285714]
2015-01-07,[87.92857143]
2015-01-08,[84.96428571]
2015-01-09,[82.]
2015-01-10,[79.03571429]
2015-01-10,[76.07142857]
2015-01-11,[73.10714286]
2015-01-06,[90.89285714]
2015-01-07,[87.92857143]
2015-01-08,[84.96428571]
2015-01-09,[82.]
2015-01-10,[79.03571429]
2015-01-10,[76.07142857]
2015-01-11,[73.10714286]
2015-01-06,[90.89285714]
2015-01-07,[87.92857143]
2015-01-08,[84.96428571]
2015-01-09,[82.]
2015-01-10,[79.03571429]
2015-01-10,[76.07142857]
2015-01-11,[73.10714286]
2015-01-06,[90.89285714]
2015-01-07,[87.92857143]
2015-01-08,[84.96428571]
2015-01-09,[82.]
2015-01-10,[79.03571429]
2015-01-10,[76.07142857]
2015-01-11,[73.10714286]
2015-01-06,[90.89285714]
2015-01-07,[87.92857143]
2015-01-08,[84.96428571]
2015-01-09,[82.]
2015-01-10,[79.03571429]
2015-01-10,[76.07142857]
2015-01-11,[73.10714286]
